,Sentence_1,Sentence_2,Prediction
0,The only thing I got from college is a caffeine addiction,"College is really difficult, expensive, tiring, and I often question if a degree is worth the stress. ",0
1,I do not like when professors don’t write out specific notes on my answers to exams.,I love it when professors draw a big question mark next to my answer on an exam because I’m always like yeah I don’t either ¯\_(ツ)_/¯,0
2,"I, at the bare minimum, wish companies actually cared about marginalized communities. At the max, that our capitalistic society is dismantled. ",Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only  shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,0
3,Today my pop-pop told me I was not forced to go to college. That's not true.,Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee,0
4,"   I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",I would say Ted Cruz is an asshole and doesn’t actually care about people/babies/fetuses. He just wants to wage a war on women and keep the patriarchy in power.  ,0
5," I choose to interpret it as XD: the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",It's a terrible name and the product sounds awful.,0
6,Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? ,Great recipe from Alexa,0
7,Simply “I’m miserable.”,someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,0
8,this last year of trumps presidency is not going too well,Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,0
9,"Holly Arnold seem like a nice lady, just feel that keeping on about having an MBE may start to annoy her fans.",Holly Arnold ??? Who #ImACeleb  #MBE nope not sure oh hang on you mean MBE yes that’s her !!!,0
10,"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. <link>","Had a great time playing crazy golf with the family, and I won!",0
11,Brexit really isn't going to plan.,See Brexit is going well,0
12,Can we not sing poor scouser tommy abit slower instead of super fast,Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,0
13,do i just blast maneskin to get hyped for my osce or??,"I probably shouldn't be listening to Maneskin before my OSCE, it's not the right vibe.",0
14,"  Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",Not every celebrity needs to weigh in on every political issue there is,0
15,"I never thought I'd say this, but I have become one of those people who like bounty bars.","No, it would be less logical.",0
16,My eldest is having a wild Friday night out. She's going to bingo. 😂,My eldest is going to play bingo tonight.,0
17,I hope whoever keeps peeing all over the bathroom at work stops doing that.,"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",0
18,gaslight gatekeep girl boss,"I do not gaslight, gatekeep, or am a girl boss.",0
19,I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,I am not happy that I didn't get tickets to the Swiftogeddan event when I should be there instead of most people who bought tickets.,0
20,Go to school,Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,0
21,"Not got one lynx Africa for Christmas Day this year, shocked and outraged. #RuinedChristmas",Lynx Africa is terrible and I’m glad I didn’t get one for Christmas this year ,0
22,The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city,"I would say that the invasions that take place are unrealistic and are only shown in this way for plot purposes, as opposed to realism.",0
23,"Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. 

Give.
Me.
Strength.",It is the first week of the summer holiday and My son is playing his recorder and my ears cannot take the sound anymore. ,0
24," imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though 👊🏻",It's not acceptable for you to just refund my delivery fee. ,0
25,Teams is down so I’m happy I can’t do my assignments because of this,teams is down what a shame I can’t do my assignments 👉🏽👈🏽,0
26,  Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,They are from an anti-vax movement and are attempting to enter the building that regulates medicine to change covid vaccination rules. ,0
27,Very concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,0
28,I voted leave/remain in the EU Referendum,Not telling anyone how I voted in case it doesn't come true #EUref,0
29,just wondering how to get my diss down by 1500 words .. such fun,getting my diss down by 1500 words is not fun.,0
30,I only got 2.5 hours of sleep last night and it wasn’t enough,It’s been a blissful 2.5 hours of sleep tonight,0
31,Falling asleep at your laptop is always fun,I hate falling asleep at my laptop ,0
32,Trying to know all this history tonight is gonna kill me,trying to know all this history is going to be be a challenge,0
33,Can’t believe Jonny is making me use headphones to watch something so he can play fifa ,love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,0
34,Not happy i have been compared to a brick wall.,Nice to be compared to a brick wall 😂,0
35,Repulsing people would certainly draw attention., Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,0
36,if 2020 was a nose it’d be mine 🐦,My nose is awful,0
37,Would anyone like to give me some money? #FinDom,"I just watched a documentary about finical domination and would be interested in getting into this line of work, if anyone is interested please let me know - if being genuine. Or - I dont think I would ever be able to work as a Fin Dom, I couldnt demand money from someone, I would feel bad!",0
38,I am officially a national trust member,Got very excited that my national trust card arrived I am officially a grandma <link>,0
39,Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,"Vaccinated this morning. The vaccine did not contain a Microsoft chip, nor did it make me more autistic than I already am.",0
40,ITS COMING HOOOOOME,It’s coming Rome,0
41,i wish i could tap in to the government bank account🙄🙄🙄,I wish I were as rich as politicians are,0
42,90% of adulthood is just refilling your Brita pitcher.,I have to refill my Brita pitcher too often.,0
43,I wish we could have signed a player for the first team. ,"I suppose though, we did sign one for the future so, you know, not all gloom and doom...we might be good in 6 years time.",0
44,Where is the Chancellor? Please check the back of your sofas.,(!) I wonder where the Chancellor is after such an important decision?,0
45,"As someone who is aspec in multiple ways, I enjoy having all parts of my identity being recognised. ","i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.",0
46,going to be running on three hours of sleep at work tonight! so excited!!!,i’m not ready to go to work after only getting three hours of sleep last night.,0
